#,Action,New,Description,Parameters,Control Required, Example(Values)
1,ABORT,-,Aborts automation run,None,No,Value not Required
2,BACK,-,Performs Back action to navigate to previous page,None,No,Value not Required
3,BREAK,-,Breaks out of a reusable component,None,No,Value not Required
4,CAPTURE_FIELD_VALUE_VAR,*,Reports text field value using a dynamic field name,Dynamic field name,Yes,City/State/ZIP Code
5,CHECK,*,Checks check box,Yes or No,Yes,Yes or No
6,CHECK_BUTTON_BY_TEXT_EXIST,-,checks a button by button name exists,Button name,No,Update
7,CHECK_BUTTON_BY_TEXT_NOT_EXIST,-,checks a button by button name not exist,Button name,No,Save
8,CHECK_BUTTON_SELECTED_STATE,-,Checks a button state by button name,Button name{P}1 or 0,No,Active{P}1 or 0
9,CHECK_BY_TEXT,-,Checks for a specific text,Text,Yes,Hello World
10,CHECK_DIC_VALUE_EQUAL,-,Checks a dictionary integer value is equal to a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
11,CHECK_DIC_VALUE_GREATER_EQUAL_THAN,-,Checks a dictionary integer value is greater than or equal to an expected integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
12,CHECK_DIC_VALUE_GREATER_THAN,-,Checks a dictionary integer value is greater than an expected integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
13,CHECK_DIC_VALUE_LESS_EQUAL_THAN,-,Checks a dictionary integer value is less than or equal to a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
14,CHECK_DIC_VALUE_LESS_THAN,-,Checks a dictionary integer value is less than a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
15,CHECK_ELEMENT_BY_TEXT_DISABLED,-,Checks element found by text is disabled,Text,Yes,Hello World
16,CHECK_ELEMENT_BY_TEXT_ENABLED,-,Checks element found by text is enabled,Text,Yes,Hello World
17,CHECK_ELEMENT_BY_TEXT_NOT_VISIBLE,-,Checks an element found by text is not visible,Text,Yes,Hello World
18,CHECK_ELEMENT_BY_TEXT_VISIBLE,-,Checks an element found by text is visible,Text,Yes,Hello World
19,CHECK_ELEMENT_DISABLED,-,Checks element disabled,None,Yes,Value not Required
20,CHECK_ELEMENT_ENABLED,-,Checks element enabled,None,Yes,Value not Required
21,CHECK_ELEMENT_EXIST,-,Checks an element exists,None,Yes,Value not Required
22,CHECK_ELEMENT_MATCH_VALUE,-,Validates an element value matches expected,Expected value,Yes,Hello World
23,CHECK_ELEMENT_NOT_EXIST,-,Checks an element does not exist,None,Yes,Value not Required
24,CHECK_ELEMENT_NOT_VISIBLE,-,Checks an element is not visible,None,Yes,Value not Required
25,CHECK_ELEMENT_NOT_VISIBLE_VAR,-,Checks an element is not visible using variable text,Variable text,Yes,hello world
26,CHECK_ELEMENT_VISIBLE,-,Checks an element is visible,None,Yes,Value not Required
27,CHECK_MATCH_VALUE,-,Matches expected value to an actual value,Expected{P}Actual,No,Apples{P}Oranges
28,CHECK_STR_START_WITH,*,Validates a string starts with a specified character,Specified character,No,Hello world{P}H
29,CHECK_VALUE_LESS_EQUAL_THAN,*,Checks an integer value is less than or equal to another integer value,Integer value1{P}Integer value2,No,
30,CHECK_VALUE_LESS_THAN,*,Checks an integer value is less than another integer value,Integer value1{P}Integer value2,No,
31,CHECK_VALUES_EQUAL,*,Checks for matching strings,Value1{P}Value2,No,3{P}3
32,CHECK_WINDOW_COUNT,-,Validates the number of current windows matches expected count,Expected number of windows,No,3
33,CLEAR_TEXT,-,Clears a text field,None,Yes,Value not Required
34,CLICK,-,Clicks an element,None,Yes,Value not Required
35,CLICK_AND_SWITCH,-,Clicks an element on a child window then switches to parent window,None,Yes,Value not Required
36,CLICK_AND_WAIT,-,Clicks an element and wait in seconds,Seconds,Yes,2
